Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,103.25,-99.25,180.0,top
C3,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,103.25,-76.75,0.0,top
C4,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,95.5,-103.75,0.0,top
C4,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,111.0,-72.25,180.0,top
C5,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,102.985,-111.205,180.0,top
C5,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,103.515,-64.795,0.0,top
C6,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,86.0,-62.75,180.0,top
C6,100nF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,120.5,-113.25,0.0,top
C7,6.8pF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,128.0,-108.75,180.0,top
C7,6.8pF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,78.5,-67.25,0.0,top
C8,6.8pF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,68.175,-62.75,0.0,top
C8,6.8pF,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,138.325,-113.25,180.0,top
D1,LL4148,D_A-405_P10.16mm_Horizontal,150.08,-59.75,180.0,top
D1,LL4148,D_A-405_P10.16mm_Horizontal,56.42,-116.25,0.0,top
D2,LL4148,D_A-405_P10.16mm_Horizontal,139.67,-54.5,0.0,top
D2,LL4148,D_A-405_P10.16mm_Horizontal,66.83,-121.5,180.0,top
J1,Power Switch,PinHeader_1x02_P2.54mm_Vertical,129.75,-83.0,-90.0,top
J1,Power Switch,PinHeader_1x02_P2.54mm_Vertical,76.75,-93.0,90.0,top
J4,Power LED,PinHeader_1x02_P2.54mm_Vertical,117.225,-83.0,90.0,top
J4,Power LED,PinHeader_1x02_P2.54mm_Vertical,89.275,-93.0,-90.0,top
P8,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,120.5,-132.25,0.0,top
P8,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,86.0,-43.75,180.0,top
P9,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,59.1,-42.25,-90.0,top
P9,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,147.4,-133.75,90.0,top
R1,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,141.44,-65.75,0.0,top
R1,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,65.06,-110.25,180.0,top
R2,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,65.06,-106.75,180.0,top
R2,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,141.44,-69.25,0.0,top
R3,470,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,141.44,-72.5,0.0,top
R3,470,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,65.06,-103.5,180.0,top
R9,1K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,95.425,-107.455,0.0,top
R9,1K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,111.075,-68.545,180.0,top
R10,100K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,103.06,-93.0,180.0,top
R10,100K,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,103.44,-83.0,0.0,top
R11,10M,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,107.0,-93.0,0.0,top
R11,10M,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,99.5,-83.0,180.0,top
SW1,Power,SW_PUSH_6mm_H4.3mm,65.0,-92.25,-90.0,top
SW1,Power,SW_PUSH_6mm_H4.3mm,141.5,-83.75,90.0,top
U1,74HC74,DIP-14_W7.62mm_LongPads,91.075,-113.375,180.0,top
U1,74HC74,DIP-14_W7.62mm_LongPads,115.425,-62.625,0.0,top
U2,74HC14,DIP-14_W7.62mm_LongPads,78.325,-113.375,180.0,top
U2,74HC14,DIP-14_W7.62mm_LongPads,128.175,-62.625,0.0,top
U3,L7905,TO-263-3_TabPin2,136.25,-99.5,90.0,top
U3,L7905,TO-263-3_TabPin2,70.25,-76.5,-90.0,top
U5,74HC73,DIP-14_W7.62mm_LongPads,90.675,-62.625,0.0,top
U5,74HC73,DIP-14_W7.62mm_LongPads,115.825,-113.375,180.0,top
Y1,3.2768,Crystal_HC52-6mm_Horizontal_1EP_style1,125.9,-101.6,180.0,top
Y1,3.2768,Crystal_HC52-6mm_Horizontal_1EP_style1,80.6,-74.4,0.0,top
